latitude	longitude	height	id
706014	7513872	13	TCAN0376-0377
706028	7513867	5	TCAN0376-0377
706017	7513843	2.5	TCAN0376-0377
705862	7513896	11	TCAN0376-0377
705807	7513899	7	TCAN0376-0377
705891	7513843	18	TCAN0376-0377
705967	7513870	10	TCAN0376-0377
705935	7513901	3	TCAN0376-0377
706044	7513837	6	TCAN0376-0377
706044	7513837	6	TCAN0376-0377
706014	7513861	15	TCAN0376-0377
705939	7513903	5	TCAN0376-0377
705871	7513936	7	TCAN0376-0377
705933	7513896	13	TCAN0376-0377
705933	7513896	7.5	TCAN0376-0377
706044	7513837	8	TCAN0376-0377
706008	7513867	3	TCAN0376-0377
706007	7513866	11	TCAN0376-0377
705897	7513894	7.5	TCAN0376-0377
705897	7513894	7.5	TCAN0376-0377
705897	7513894	7.5	TCAN0376-0377
705836	7513879	5	TCAN0376-0377
705880	7513924	7.5	TCAN0376-0377
706017	7513874	7.5	TCAN0376-0377
706019	7513869	4	TCAN0376-0377
705892	7513890	9	TCAN0376-0377
705829	7513952	4	TCAN0376-0377
705850	7513866	7.5	TCAN0376-0377
705963	7513868	13	TCAN0376-0377
706008	7513894	15	TCAN0376-0377
706014	7513867	12	TCAN0376-0377
705909	7513911	10	TCAN0376-0377
705870	7513965	13	TCAN0376-0377
705826	7513966	12	TCAN0376-0377
705863	7513896	2.5	TCAN0376-0377
705941	7513811	7	TCAN0376-0377
705794	7513824	7	TCAN0376-0377
705794	7513824	12	TCAN0376-0377
705796	7513897	3.5	TCAN0376-0377
705871	7513918	7.5	TCAN0376-0377
705940	7513858	8	TCAN0376-0377
705876	7513796	8	TCAN0376-0377
705908	7513839	12	TCAN0376-0377
705941	7513849	7	TCAN0376-0377
705941	7513849	20	TCAN0376-0377
705821	7513847	11	TCAN0376-0377
705865	7513808	12	TCAN0376-0377
706409	7513474	7.5	TCAN3805-3819
706409	7513474	7.5	TCAN3805-3819
706467	7513493	4	TCAN3805-3819
706467	7513493	4	TCAN3805-3819
706497	7513493	4	TCAN3805-3819
706467	7513493	4	TCAN3805-3819
706467	7513493	4	TCAN3805-3819
706467	7513493	4	TCAN3805-3819
706467	7513493	4	TCAN3805-3819
706467	7513493	4	TCAN3805-3819
706467	7513493	4	TCAN3805-3819
706462	7513535	13	TCAN3805-3819
706353	7513570	15	TCAN3805-3819
706503	7513473	10	TCAN3805-3819
706467	7513493	4	TCAN3805-3819
706467	7513493	4	TCAN3805-3819
706438	7513574	20	TCAN3805-3819
706467	7513493	4	TCAN3805-3819
706497	7513493	4	TCAN3805-3819
706497	7513493	4	TCAN3805-3819
706497	7513493	4	TCAN3805-3819
706467	7513493	4	TCAN3805-3819
706481	7513446	15	TCAN3805-3819
706384	7513482	20	TCAN3805-3819
706347	7513518	15	TCAN3805-3819
706467	7513493	4	TCAN3805-3819
706467	7513493	4	TCAN3805-3819
706467	7513493	4	TCAN3805-3819
706467	7513493	4	TCAN3805-3819
706433	7513569	15	TCAN3805-3819
707015	7512634	18	TCAN3820-3821
707015	7512634	18	TCAN3820-3821
707015	7512634	18	TCAN3820-3821
706994	7512743	10	TCAN3820-3821
706933	7512757	10	TCAN3820-3821
706933	7512757	7.5	TCAN3820-3821
706908	7512771	5	TCAN3820-3821
706908	7512771	7.5	TCAN3820-3821
706914	7512760	7.5	TCAN3820-3821
707000	7512733	10	TCAN3820-3821
706958	7512664	15	TCAN3820-3821
707015	7512634	18	TCAN3820-3821
707015	7512634	18	TCAN3820-3821
707022	7512730	15	TCAN3820-3821
707030	7512728	20	TCAN3820-3821
706968	7512692	10	TCAN3820-3821
706926	7512767	7.5	TCAN3820-3821
706930	7512764	7.5	TCAN3820-3821
706930	7512764	12	TCAN3820-3821
707015	7512634	18	TCAN3820-3821
706959	7512760	25	TCAN3820-3821
707009	7512737	15	TCAN3820-3821
707009	7512737	12	TCAN3820-3821
707015	7512634	18	TCAN3820-3821
707015	7512634	18	TCAN3820-3821
706976	7512695	5	TCAN3820-3821
706985	7512747	15	TCAN3820-3821
706898	7512767	10	TCAN3820-3821
707015	7512634	18	TCAN3820-3821
707015	7512634	18	TCAN3820-3821
707007	7512681	10	TCAN3820-3821
707007	7512710	17	TCAN3820-3821
706930	7512727	16	TCAN3820-3821
706887	7512784	17	TCAN3820-3821
706863	7512842	18	TCAN3820-3821
706866	7512847	19	TCAN3820-3821
706865	7512838	12	TCAN3820-3821
706865	7512838	10	TCAN3820-3821
706865	7512838	16	TCAN3820-3821
706956	7512749	8	TCAN3820-3821
707021	7512660	8	TCAN3820-3821
705867	7513898	7.5	TCAN1568-1569
705873	7513871	15	TCAN1568-1569
705891	7513774	10	TCAN1568-1569
705814	7513748	10	TCAN1568-1569
705823	7513738	3	TCAN1568-1569
705817	7513856	3.5	TCAN1568-1569
705863	7513889	18	TCAN1568-1569
705884	7513735	22	TCAN1568-1569
705924	7513748	25	TCAN1568-1569
705886	7513829	12	TCAN1568-1569
705823	7513738	11	TCAN1568-1569
705856	7513779	7.5	TCAN1568-1569
705835	7513764	10	TCAN1568-1569
705927	7513828	10	TCAN1568-1569
705853	7513814	22	TCAN1568-1569
705838	7513730	3	TCAN1568-1569
707026	7512601	20	TCAN3815-3816
707034	7512679	12	TCAN3815-3816
707066	7512831	10	TCAN3815-3816
707073	7512853	9	TCAN3815-3816
707031	7512854	15	TCAN3815-3816
707031	7512854	15	TCAN3815-3816
707031	7512854	15	TCAN3815-3816
707031	7512854	15	TCAN3815-3816
707091	7512785	18	TCAN3815-3816
707000	7512748	12	TCAN3815-3816
707008	7512735	17	TCAN3815-3816
706896	7512777	15	TCAN3815-3816
707003	7512746	7.5	TCAN3815-3816
706957	7512550	8	TCAN3815-3816
707125	7512691	7.5	TCAN3815-3816
707111	7512677	17	TCAN3815-3816
707048	7512667	22	TCAN3815-3816
706889	7512556	7	TCAN3815-3816
706894	7512661	15	TCAN3815-3816
707131	7512669	22	TCAN3815-3816
707121	7512680	18	TCAN3815-3816
706928	7512505	3	TCAN3815-3816
706953	7512560	15	TCAN3815-3816
706911	7512714	8	TCAN3815-3816
706994	7512757	8	TCAN3815-3816
707060	7512734	15	TCAN3815-3816
707039	7512575	3	TCAN3815-3816
707039	7512575	7.5	TCAN3815-3816
706987	7512551	4	TCAN3815-3816
706987	7512551	7	TCAN3815-3816
707030	7512583	4	TCAN3815-3816
